Age,Travel,Department,Distance,Education,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,MaritalStatus,MonthlyIncome,Over18,OverTime,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,JobSatisfaction
34.0,Rarely,Other,6.0,Low,31.0,Low,Male,83.0,High,Low,Single,2960.0,1.0,No,8.0,4.0,2.0,1.0,Low
53.0,Rarely,Other,5.0,Medium,32.0,High,Female,58.0,High,High,Single,19094.0,1.0,No,26.0,14.0,13.0,4.0,High
32.0,Frequently,Other,16.0,Low,33.0,Low,Female,72.0,Low,Low,Single,3919.0,1.0,Yes,10.0,10.0,2.0,6.0,Low
42.0,Rarely,Other,8.0,High,35.0,High,Male,48.0,High,Low,Married,6825.0,1.0,No,10.0,9.0,7.0,4.0,Low
44.0,Rarely,Other,7.0,High,36.0,Low,Female,42.0,Low,Medium,Married,10248.0,1.0,No,24.0,22.0,6.0,5.0,High
46.0,Rarely,,2.0,High,,Low,Female,83.0,High,High,Single,18947.0,1.0,No,22.0,2.0,2.0,2.0,Low
33.0,Rarely,Other,2.0,Medium,39.0,High,Male,78.0,High,Low,Single,2496.0,1.0,No,7.0,1.0,1.0,0.0,High
44.0,Rarely,Other,10.0,High,40.0,High,Male,41.0,High,Low,Married,6465.0,1.0,Yes,9.0,4.0,,1.0,High
30.0,Rarely,Other,,Low,41.0,High,Male,83.0,Low,Low,Single,2206.0,1.0,No,10.0,10.0,0.0,1.0,High
39.0,Rarely,Other,5.0,Medium,42.0,High,Male,56.0,High,Low,Married,2086.0,1.0,No,19.0,1.0,0.0,0.0,High
24.0,Rarely,Other,1.0,Medium,45.0,Low,Male,61.0,High,Low,Married,2293.0,1.0,Yes,6.0,2.0,0.0,2.0,High
43.0,Rarely,Other,2.0,Low,46.0,High,Female,72.0,High,Low,Single,2645.0,1.0,No,6.0,5.0,3.0,1.0,High
50.0,Rarely,Other,3.0,Low,47.0,Low,Male,86.0,Low,Low,Married,2683.0,1.0,Yes,3.0,3.0,2.0,0.0,High
35.0,Rarely,Other,2.0,Medium,49.0,High,Female,97.0,High,Low,Married,2014.0,1.0,No,2.0,2.0,2.0,2.0,High
36.0,,Other,5.0,High,51.0,Low,Female,82.0,Low,Low,Married,3419.0,1.0,Yes,6.0,1.0,1.0,0.0,Low
33.0,Frequently,Other,1.0,Medium,52.0,High,Female,42.0,High,Low,Married,5376.0,1.0,No,10.0,5.0,3.0,1.0,Low
35.0,Rarely,Other,4.0,Low,53.0,High,,75.0,High,Low,Single,1951.0,1.0,No,1.0,1.0,0.0,0.0,High
27.0,Rarely,Other,2.0,High,54.0,High,Female,33.0,High,Low,Single,2341.0,1.0,No,1.0,1.0,0.0,0.0,Low
26.0,Rarely,Other,25.0,Medium,55.0,Low,Male,48.0,Low,Low,Single,2293.0,1.0,No,1.0,1.0,0.0,0.0,High
27.0,Frequently,Other,8.0,Medium,56.0,High,Male,37.0,High,Medium,Single,8726.0,1.0,No,9.0,9.0,8.0,1.0,High
30.0,Frequently,Other,1.0,Low,57.0,High,Female,58.0,High,Low,Single,4011.0,1.0,No,12.0,12.0,8.0,3.0,High
41.0,Rarely,Other,12.0,Medium,58.0,Low,Female,49.0,High,High,Married,19545.0,1.0,No,23.0,22.0,15.0,15.0,High
34.0,Never,Other,23.0,High,60.0,Low,Male,72.0,High,Low,Single,4568.0,1.0,No,10.0,9.0,5.0,8.0,High
37.0,Rarely,Other,19.0,,61.0,Low,Male,73.0,High,Low,Married,3022.0,1.0,No,8.0,1.0,0.0,0.0,Low
46.0,Frequently,Other,5.0,High,62.0,Low,Male,98.0,High,Low,Single,5772.0,1.0,Yes,14.0,9.0,6.0,0.0,High
35.0,Rarely,Other,8.0,Low,63.0,High,Male,36.0,High,Low,Married,2269.0,1.0,No,1.0,1.0,0.0,0.0,High
48.0,Rarely,Other,1.0,,64.0,Low,Male,98.0,Low,Medium,Single,5381.0,1.0,Yes,23.0,1.0,0.0,0.0,High
28.0,Rarely,Other,,High,65.0,High,Male,50.0,High,Low,Single,3441.0,1.0,Yes,2.0,2.0,2.0,2.0,High
44.0,Rarely,Other,1.0,High,68.0,Low,Female,75.0,High,Low,Single,5454.0,1.0,Yes,9.0,4.0,3.0,1.0,Low
35.0,Never,Other,11.0,Low,70.0,High,Male,79.0,Low,Medium,Married,9884.0,1.0,Yes,10.0,4.0,0.0,2.0,Low
26.0,Rarely,Other,23.0,Medium,72.0,High,Female,47.0,Low,Low,Married,4157.0,1.0,Yes,5.0,,2.0,0.0,High
,Frequently,Other,1.0,Low,73.0,Low,Female,98.0,High,Medium,Single,13458.0,1.0,Yes,15.0,15.0,14.0,8.0,High
35.0,Frequently,Other,18.0,High,74.0,Low,Male,71.0,High,Medium,Married,9069.0,1.0,No,9.0,9.0,8.0,1.0,Low
35.0,Rarely,Other,23.0,High,75.0,High,Female,30.0,High,Low,Married,4014.0,1.0,Yes,4.0,2.0,2.0,2.0,Low
31.0,Rarely,Other,7.0,High,76.0,High,Male,48.0,High,Low,Single,5915.0,1.0,No,10.0,7.0,7.0,1.0,High
37.0,Rarely,Other,1.0,High,77.0,Low,Male,51.0,Low,Low,Single,5993.0,1.0,No,7.0,7.0,5.0,0.0,High
32.0,Rarely,Other,1.0,Medium,78.0,Low,Male,33.0,High,Low,Married,6162.0,1.0,Yes,9.0,9.0,8.0,7.0,High
38.0,Frequently,Other,29.0,High,79.0,High,Female,50.0,High,Low,Single,2406.0,1.0,No,10.0,10.0,3.0,9.0,High
50.0,Rarely,Other,7.0,Low,80.0,Low,Female,43.0,Low,High,Single,18740.0,1.0,Yes,29.0,27.0,3.0,13.0,High
59.0,Rarely,Other,25.0,Medium,81.0,Low,Female,99.0,High,Medium,Single,7637.0,1.0,No,28.0,21.0,16.0,7.0,Low
36.0,Rarely,Other,8.0,Medium,83.0,High,Female,59.0,High,Medium,Single,10096.0,1.0,No,17.0,17.0,14.0,12.0,High
55.0,Rarely,Other,8.0,Medium,84.0,High,Female,33.0,High,High,Single,14756.0,1.0,Yes,21.0,5.0,0.0,0.0,High
36.0,Frequently,Other,11.0,Medium,85.0,Low,Male,95.0,Low,Low,Single,6499.0,1.0,No,6.0,6.0,5.0,0.0,Low
45.0,Rarely,Other,7.0,Medium,86.0,Low,Male,59.0,High,Medium,Single,9724.0,1.0,No,25.0,1.0,0.0,0.0,Low
35.0,Frequently,Other,,Medium,88.0,Low,Male,79.0,High,Low,Married,2194.0,1.0,No,5.0,3.0,2.0,1.0,Low
36.0,Rarely,Other,9.0,Medium,90.0,High,Male,79.0,Low,Low,Married,3388.0,1.0,Yes,2.0,1.0,0.0,0.0,High
59.0,Frequently,Other,1.0,Low,91.0,Low,Female,57.0,Low,Low,Single,5473.0,1.0,No,20.0,4.0,3.0,1.0,High
29.0,Rarely,Other,,Medium,94.0,High,Male,76.0,High,Low,Married,2703.0,1.0,No,6.0,5.0,4.0,0.0,Low
31.0,Rarely,Other,1.0,High,95.0,High,Male,87.0,High,Low,Single,2501.0,1.0,No,1.0,1.0,1.0,1.0,Low
32.0,Rarely,Other,1.0,Medium,96.0,Low,Male,66.0,High,Low,Married,6220.0,1.0,No,10.0,10.0,4.0,0.0,Low
36.0,Rarely,Other,6.0,Medium,97.0,Low,Female,55.0,High,Low,Married,3038.0,1.0,No,5.0,1.0,0.0,0.0,High
31.0,Rarely,Other,8.0,High,98.0,High,Female,61.0,High,Low,Single,4424.0,1.0,No,11.0,11.0,7.0,1.0,High
35.0,Rarely,Other,,High,100.0,High,Male,32.0,Low,Low,Single,4312.0,1.0,No,16.0,15.0,,2.0,Low
45.0,Rarely,Other,6.0,High,101.0,High,Male,52.0,High,Medium,Married,13245.0,1.0,Yes,17.0,0.0,0.0,0.0,Low
37.0,Rarely,Other,7.0,High,102.0,Low,Male,30.0,High,Medium,Single,13664.0,1.0,No,16.0,5.0,2.0,0.0,High
46.0,Rarely,Other,5.0,Low,103.0,Low,Male,80.0,High,Low,Single,5021.0,1.0,Yes,16.0,4.0,2.0,0.0,Low
30.0,Rarely,Other,1.0,Low,104.0,High,Male,55.0,Low,Low,Married,5126.0,1.0,Yes,10.0,10.0,8.0,3.0,High
35.0,Rarely,Other,1.0,Medium,105.0,Low,Male,30.0,Low,Low,Single,2859.0,1.0,No,6.0,6.0,4.0,0.0,High
55.0,Rarely,Other,1.0,Low,106.0,Low,Male,70.0,High,Medium,Married,10239.0,1.0,No,24.0,1.0,0.0,1.0,High
38.0,Never,Other,6.0,Medium,107.0,Low,Female,79.0,Low,Low,Single,5329.0,1.0,Yes,17.0,13.0,11.0,1.0,High
34.0,Rarely,Other,1.0,Low,110.0,Low,Male,94.0,High,Low,Married,4325.0,1.0,No,5.0,5.0,2.0,1.0,Low
56.0,Rarely,Other,7.0,Medium,112.0,High,,49.0,Low,Medium,Single,7260.0,1.0,No,37.0,6.0,4.0,0.0,High
23.0,Rarely,Other,2.0,Low,113.0,High,Male,62.0,High,Low,Single,2322.0,1.0,No,3.0,0.0,,0.0,Low
51.0,Rarely,Other,9.0,High,116.0,High,Male,96.0,High,Low,Married,2075.0,1.0,No,,4.0,2.0,0.0,High
30.0,Rarely,Other,2.0,Medium,117.0,High,Male,99.0,Low,Low,Married,4152.0,,No,11.0,11.0,10.0,10.0,High
46.0,Rarely,,9.0,Low,118.0,High,Male,64.0,Low,Medium,Single,9619.0,1.0,No,9.0,9.0,8.0,4.0,High
40.0,Frequently,Other,1.0,High,119.0,High,Male,78.0,Low,High,Married,13503.0,1.0,No,22.0,22.0,3.0,11.0,Low
51.0,Rarely,Other,21.0,High,120.0,High,Male,71.0,High,Low,Single,5441.0,1.0,Yes,11.0,10.0,7.0,1.0,High
30.0,Rarely,Other,4.0,Low,121.0,High,Female,63.0,Low,Low,Single,5209.0,1.0,Yes,11.0,11.0,8.0,2.0,Low
46.0,Frequently,Other,1.0,Medium,124.0,High,Male,40.0,Low,Medium,Married,10673.0,1.0,Yes,21.0,10.0,9.0,9.0,Low
32.0,Rarely,Other,6.0,High,125.0,Low,Male,87.0,High,Low,Single,5010.0,1.0,No,12.0,11.0,8.0,5.0,High
54.0,Rarely,Other,2.0,High,126.0,Low,Female,60.0,High,Medium,Married,13549.0,1.0,No,16.0,4.0,3.0,0.0,High
24.0,Rarely,Other,3.0,Low,128.0,Low,Female,33.0,High,Low,Married,4999.0,1.0,No,4.0,3.0,2.0,0.0,High
28.0,Never,Other,4.0,Medium,129.0,Low,Male,43.0,High,Low,Married,4221.0,1.0,No,5.0,5.0,4.0,0.0,High
58.0,Rarely,Other,10.0,High,131.0,,Male,37.0,High,High,Single,13872.0,1.0,No,38.0,37.0,10.0,1.0,High
44.0,Never,Other,23.0,Medium,132.0,Low,Male,67.0,High,Low,Married,2042.0,1.0,No,17.0,3.0,2.0,1.0,Low
37.0,Rarely,Other,6.0,High,133.0,High,Male,63.0,High,Low,Single,2073.0,1.0,Yes,7.0,3.0,2.0,0.0,Low
32.0,Rarely,Other,1.0,Low,134.0,High,Male,71.0,High,Low,Single,2956.0,1.0,No,1.0,1.0,0.0,0.0,
20.0,Frequently,Other,6.0,Medium,137.0,High,Female,66.0,Low,Low,Single,2926.0,1.0,Yes,1.0,1.0,0.0,1.0,High
34.0,Rarely,Other,6.0,High,138.0,Low,Female,41.0,High,Low,Single,4809.0,1.0,No,16.0,16.0,13.0,2.0,High
37.0,Never,Other,2.0,Low,139.0,High,Male,100.0,Low,Low,Single,5163.0,1.0,No,17.0,1.0,0.0,0.0,High
59.0,Never,Other,2.0,High,140.0,High,Female,32.0,Low,High,Married,18844.0,1.0,No,30.0,3.0,2.0,2.0,High
50.0,Frequently,Other,1.0,Medium,141.0,Low,Female,73.0,High,High,Married,18172.0,1.0,Yes,28.0,8.0,3.0,0.0,Low
25.0,Rarely,Other,5.0,Medium,142.0,High,Male,46.0,Low,Low,Single,5744.0,1.0,Yes,6.0,6.0,4.0,0.0,
25.0,Rarely,Other,7.0,Low,143.0,High,Male,64.0,Low,Low,Married,2889.0,1.0,No,2.0,2.0,2.0,2.0,High
22.0,Rarely,Other,15.0,Medium,144.0,Low,Female,59.0,High,Low,Single,2871.0,1.0,No,1.0,0.0,0.0,0.0,High
,Frequently,Other,1.0,High,145.0,Low,Female,30.0,Low,Medium,Single,7484.0,1.0,No,23.0,13.0,12.0,12.0,Low
34.0,Frequently,Other,7.0,Medium,147.0,Low,Male,66.0,Low,Low,Single,6074.0,1.0,Yes,9.0,9.0,7.0,0.0,High
54.0,Never,Other,26.0,Medium,148.0,High,Female,30.0,High,High,Single,17328.0,1.0,Yes,23.0,5.0,3.0,4.0,High
24.0,Rarely,Other,18.0,Low,150.0,Low,Male,52.0,High,Low,Married,2774.0,1.0,No,6.0,5.0,3.0,1.0,High
34.0,Rarely,Other,6.0,High,151.0,High,Female,45.0,Low,Low,Single,4505.0,1.0,No,12.0,1.0,0.0,0.0,Low
37.0,Rarely,Other,3.0,Medium,152.0,High,Male,87.0,High,Medium,Single,7428.0,1.0,No,12.0,5.0,3.0,1.0,High
34.0,Rarely,Other,5.0,Medium,,High,Female,45.0,Low,Medium,Single,11631.0,1.0,No,14.0,11.0,10.0,5.0,Low
36.0,Frequently,Other,11.0,Low,154.0,Low,Female,92.0,High,Medium,Married,9738.0,1.0,No,10.0,9.0,7.0,2.0,High
36.0,Rarely,Other,3.0,Low,155.0,Low,Female,39.0,High,Low,Single,2835.0,1.0,No,7.0,1.0,0.0,0.0,High
43.0,Frequently,Other,26.0,Low,158.0,High,Male,92.0,High,High,Married,16959.0,1.0,Yes,25.0,25.0,12.0,4.0,High
30.0,Frequently,Other,23.0,Medium,159.0,Low,Male,96.0,Low,Low,Single,2613.0,1.0,No,10.0,10.0,7.0,0.0,High
33.0,Never,Other,22.0,Low,160.0,High,Male,95.0,High,Low,Married,6146.0,1.0,No,8.0,7.0,7.0,0.0,Low
56.0,Rarely,Other,14.0,High,161.0,Low,Female,72.0,High,Low,Married,4963.0,1.0,Yes,7.0,5.0,4.0,4.0,Low
51.0,Rarely,Other,,Medium,162.0,Low,Male,51.0,High,High,Single,19537.0,1.0,No,23.0,20.0,18.0,15.0,High
31.0,Rarely,Other,6.0,High,163.0,Low,Male,76.0,Low,Low,Married,6172.0,1.0,Yes,12.0,7.0,7.0,7.0,High
26.0,Rarely,Other,6.0,Medium,164.0,High,Female,46.0,Low,Low,Married,2368.0,1.0,No,5.0,5.0,4.0,4.0,Low
58.0,Rarely,Other,23.0,High,165.0,High,Female,94.0,,Medium,Married,10312.0,1.0,No,40.0,40.0,10.0,15.0,High
19.0,Rarely,Other,22.0,Low,167.0,High,Male,50.0,High,Low,Single,1675.0,1.0,Yes,0.0,0.0,0.0,0.0,High
22.0,Rarely,Other,2.0,Low,169.0,High,Male,100.0,High,Low,Married,2523.0,1.0,No,3.0,2.0,1.0,2.0,High
49.0,Rarely,Other,20.0,High,170.0,High,Female,96.0,High,Low,Married,6567.0,1.0,No,16.0,15.0,11.0,5.0,Low
43.0,Frequently,Other,28.0,Medium,171.0,Low,Female,72.0,High,Low,Single,4739.0,1.0,No,18.0,3.0,2.0,1.0,High
50.0,Frequently,Other,12.0,Medium,174.0,High,Female,77.0,High,Medium,Single,9208.0,1.0,No,16.0,2.0,2.0,2.0,High
31.0,Rarely,Other,20.0,Medium,175.0,Low,Female,71.0,Low,Low,Married,4559.0,1.0,Yes,4.0,2.0,2.0,2.0,High
41.0,Rarely,Other,,Low,176.0,High,Male,96.0,High,Medium,Single,8189.0,,Yes,12.0,9.0,7.0,0.0,High
26.0,Rarely,Other,25.0,Low,177.0,High,Female,61.0,High,Low,Married,2942.0,1.0,No,8.0,8.0,7.0,5.0,High
36.0,Rarely,Other,6.0,Low,178.0,Low,Male,84.0,High,Low,Single,4941.0,1.0,No,7.0,3.0,2.0,0.0,Low
51.0,Frequently,Other,8.0,High,179.0,Low,Male,53.0,Low,Medium,Single,10650.0,1.0,No,18.0,4.0,2.0,0.0,High
39.0,Rarely,Other,4.0,High,182.0,High,Female,47.0,Low,Low,Married,5902.0,1.0,No,17.0,15.0,11.0,5.0,High
25.0,Rarely,Other,28.0,Medium,183.0,Low,Male,41.0,Low,Low,Married,8639.0,,No,6.0,2.0,2.0,2.0,High
30.0,Rarely,Other,9.0,Medium,184.0,High,Male,48.0,High,Low,Married,6347.0,1.0,Yes,12.0,11.0,9.0,4.0,High
32.0,Rarely,Other,,Medium,190.0,Low,Female,41.0,High,,Single,4200.0,1.0,No,10.0,5.0,4.0,0.0,
45.0,Rarely,Other,29.0,Medium,192.0,High,Male,83.0,High,Low,Single,3452.0,1.0,No,9.0,6.0,5.0,0.0,High
38.0,Rarely,Other,3.0,High,193.0,High,Female,32.0,High,Low,Single,4317.0,1.0,Yes,19.0,3.0,2.0,2.0,High
30.0,Rarely,Other,18.0,Medium,194.0,Low,Female,75.0,High,,Single,2632.0,1.0,No,5.0,5.0,4.0,0.0,High
32.0,Frequently,Other,9.0,Low,195.0,High,Male,35.0,Low,Low,Single,4668.0,1.0,No,9.0,8.0,7.0,0.0,High
30.0,,Other,5.0,Medium,197.0,High,Female,84.0,High,Low,Single,3204.0,1.0,,8.0,3.0,2.0,2.0,Low
30.0,Rarely,Other,2.0,Low,198.0,Low,,35.0,Low,Low,Single,2720.0,1.0,No,6.0,5.0,3.0,1.0,High
41.0,Frequently,Other,10.0,Medium,199.0,High,Male,91.0,Low,High,Single,17181.0,1.0,No,21.0,7.0,6.0,7.0,Low
41.0,Rarely,Other,9.0,High,200.0,High,Male,94.0,High,Low,Married,2238.0,1.0,No,7.0,5.0,0.0,1.0,Low
19.0,Rarely,Other,3.0,Low,201.0,Low,Female,79.0,,Low,Single,1483.0,1.0,No,1.0,1.0,0.0,0.0,Low
40.0,Frequently,Other,26.0,Medium,202.0,Low,Female,54.0,High,Low,Single,5605.0,1.0,No,20.0,20.0,7.0,2.0,Low
35.0,Rarely,Other,1.0,High,204.0,High,Male,94.0,High,Medium,Married,7295.0,1.0,No,10.0,10.0,8.0,0.0,Low
53.0,Rarely,Other,6.0,Low,205.0,Low,Male,34.0,High,Low,Married,2306.0,1.0,Yes,13.0,7.0,7.0,4.0,High
45.0,Rarely,Other,9.0,Medium,206.0,Low,Male,60.0,High,Low,Single,2348.0,1.0,No,20.0,17.0,9.0,0.0,Low
32.0,Frequently,Other,8.0,Medium,207.0,Low,Female,43.0,High,Medium,Single,8998.0,1.0,No,9.0,9.0,8.0,3.0,High
29.0,Never,Other,1.0,Low,208.0,High,Male,41.0,High,Low,Married,4319.0,1.0,No,10.0,10.0,7.0,0.0,High
51.0,Rarely,Other,7.0,High,211.0,Low,Male,34.0,Low,Low,Married,6132.0,1.0,,10.0,1.0,0.0,0.0,High
58.0,Rarely,Other,9.0,Medium,214.0,Low,Female,75.0,Low,Low,Married,3346.0,1.0,Yes,9.0,1.0,0.0,0.0,Low
40.0,Rarely,,4.0,High,215.0,High,,67.0,Low,Medium,Married,10855.0,1.0,No,15.0,12.0,11.0,2.0,High
34.0,Frequently,Other,2.0,High,216.0,High,Female,75.0,High,Low,Married,2231.0,1.0,No,6.0,4.0,3.0,1.0,High
22.0,Rarely,Other,19.0,Low,217.0,High,Male,80.0,High,Low,Married,2323.0,1.0,No,2.0,2.0,2.0,2.0,High
27.0,Never,Other,9.0,Medium,218.0,High,Male,57.0,High,Low,Single,2024.0,1.0,No,6.0,2.0,2.0,2.0,Low
28.0,Rarely,Other,,Medium,221.0,High,Male,42.0,High,Low,Married,2713.0,1.0,No,5.0,5.0,2.0,0.0,High
57.0,Rarely,Other,24.0,Low,223.0,High,Male,83.0,High,Medium,Single,9439.0,1.0,Yes,,5.0,3.0,1.0,High
27.0,Never,Other,3.0,Medium,224.0,High,Male,79.0,Low,Low,Single,2566.0,1.0,Yes,1.0,1.0,1.0,0.0,High
50.0,Rarely,Other,11.0,Medium,226.0,High,Female,53.0,High,High,Single,19926.0,1.0,No,21.0,5.0,4.0,4.0,Low
41.0,Rarely,Other,14.0,Medium,227.0,Low,Male,56.0,High,Low,Single,2451.0,1.0,No,13.0,9.0,8.0,1.0,High
30.0,Rarely,Other,5.0,Medium,228.0,Low,Female,41.0,High,Medium,Married,9419.0,1.0,No,12.0,10.0,9.0,7.0,High
38.0,Rarely,Other,1.0,High,230.0,Low,Female,59.0,Low,Low,Single,8686.0,1.0,No,12.0,8.0,,0.0,High
32.0,Rarely,Other,6.0,High,231.0,High,Male,43.0,High,Low,Single,3038.0,1.0,No,8.0,5.0,4.0,1.0,High
27.0,Rarely,Other,17.0,Medium,233.0,High,Male,51.0,High,Low,Married,3058.0,1.0,Yes,6.0,5.0,2.0,1.0,Low
19.0,Frequently,Other,1.0,Low,235.0,High,Female,100.0,Low,Low,Single,2325.0,1.0,No,1.0,0.0,0.0,0.0,Low
36.0,Frequently,Other,3.0,Low,238.0,High,Male,30.0,High,Low,Single,2088.0,1.0,No,13.0,8.0,7.0,7.0,Low
30.0,Never,Other,9.0,Medium,239.0,High,Male,66.0,High,Low,Single,3072.0,1.0,No,12.0,12.0,9.0,6.0,Low
45.0,Rarely,Other,4.0,Low,240.0,High,Female,30.0,High,Low,Single,5006.0,1.0,Yes,9.0,5.0,4.0,0.0,Low
56.0,Rarely,Other,8.0,Medium,241.0,High,Female,67.0,High,Low,Single,4257.0,1.0,Yes,19.0,2.0,2.0,2.0,Low
33.0,Rarely,Other,2.0,Medium,242.0,High,Male,90.0,High,Low,Single,2500.0,1.0,No,4.0,3.0,1.0,0.0,High
19.0,Rarely,Other,2.0,Medium,243.0,Low,Male,47.0,Low,Low,Single,1102.0,1.0,No,1.0,1.0,0.0,1.0,High
46.0,Rarely,Other,1.0,Low,244.0,Low,Female,92.0,High,Medium,Single,10453.0,1.0,No,24.0,24.0,13.0,15.0,Low
38.0,Rarely,Other,9.0,Low,245.0,High,Female,75.0,High,Low,Single,2288.0,1.0,No,2.0,2.0,2.0,2.0,High
31.0,Rarely,Other,12.0,Low,246.0,High,Female,95.0,High,Low,Married,,1.0,Yes,7.0,4.0,2.0,0.0,High
34.0,Rarely,Other,27.0,Low,247.0,High,Female,95.0,High,Low,Single,2311.0,1.0,No,9.0,3.0,2.0,1.0,Low
41.0,Rarely,Other,20.0,Low,248.0,Low,Female,70.0,High,Low,Single,3140.0,1.0,Yes,4.0,4.0,3.0,0.0,Low
50.0,Rarely,Other,1.0,Medium,249.0,High,Male,86.0,Low,Low,Married,3690.0,1.0,No,5.0,3.0,2.0,0.0,High
53.0,Rarely,Other,13.0,Low,250.0,High,Female,57.0,High,Low,Single,4450.0,1.0,No,5.0,4.0,2.0,1.0,Low
33.0,Rarely,Other,14.0,Medium,252.0,High,Female,72.0,High,Low,Married,2756.0,1.0,No,8.0,8.0,7.0,1.0,Low
40.0,Rarely,Other,4.0,Low,253.0,High,Female,46.0,High,High,Married,19033.0,1.0,No,21.0,20.0,8.0,9.0,
55.0,Rarely,Other,14.0,High,254.0,High,Male,61.0,High,High,Single,18722.0,1.0,No,36.0,24.0,15.0,2.0,Low
34.0,Frequently,Other,2.0,Low,256.0,High,Male,45.0,Low,Low,Married,9547.0,1.0,No,10.0,10.0,9.0,1.0,High
51.0,Rarely,Other,3.0,Medium,258.0,High,Female,98.0,High,High,Single,13734.0,1.0,No,21.0,7.0,7.0,1.0,Low
52.0,Rarely,Other,1.0,High,259.0,High,Male,65.0,Low,High,Married,19999.0,1.0,No,34.0,33.0,18.0,11.0,High
27.0,Rarely,Other,9.0,Medium,260.0,High,Female,99.0,High,Low,Single,2279.0,1.0,No,7.0,7.0,7.0,0.0,Low
35.0,Rarely,Other,23.0,Low,261.0,Low,Male,50.0,Low,Low,Married,5916.0,1.0,Yes,8.0,1.0,0.0,0.0,
43.0,Never,Other,7.0,Medium,262.0,High,Male,37.0,High,Low,Single,2089.0,1.0,No,7.0,5.0,4.0,2.0,High
45.0,Never,Other,2.0,Low,264.0,Low,Male,65.0,,High,Married,16792.0,1.0,No,22.0,20.0,8.0,11.0,High
