Song,Duration,ExplicitContent,Year,Popularity,Danceability,Intensity,Loudness,SpokenWords,Acousticness,Instrumentalness,Liveness,Tempo,Genre
Take A Look Around (Limp Bizkit),321040.0,False,2000.0,High,0.425,0.852,-5.607,No,0.0175,0.306,0.0935,101.96799999999999,Rock
Sandstorm (Darude),225493.0,False,2001.0,High,0.528,0.965,-7.984,No,,0.985,0.0797,136.065,Pop
What'chu Like (feat. Tyrese) (Da Brat),221160.0,True,2000.0,Low,0.879,0.6809999999999999,-8.951,Yes,0.017,0.0,0.0669,99.97399999999999,Pop
The Time Is Now (Moloko),318280.0,False,2000.0,Low,0.682,0.743,-10.644,Yes,0.35,0.000129,0.27699999999999997,127.962,Pop
Don't Give Up (Chicane),210786.0,False,2016.0,Low,0.644,0.72,-9.635,No,0.00145,0.504,0.0839,132.017,Rock
Party Up (DMX),268866.0,True,1999.0,High,0.51,0.9309999999999999,-3.302,Yes,0.0738,0.0,0.5,201.93599999999998,Pop
Dance with Me (Debelah Morgan),220106.0,False,2000.0,Low,0.85,0.674,-7.981,No,0.309,0.0006450000000000001,0.0356,115.005,Pop
Music (Madonna),225973.0,False,2000.0,Low,0.736,0.802,-8.527000000000001,No,0.00149,0.0876,0.14,119.854,Pop
No More (Ruff Endz),242560.0,False,2000.0,Low,0.8390000000000001,0.6409999999999999,-5.669,No,0.0324,4.56e-06,0.0602,97.00399999999999,Rock
Born to Make You Happy (Britney Spears),243533.0,False,1999.0,Low,0.633,0.922,-4.842,No,0.11599999999999999,0.000465,0.071,84.11,Pop
Get It On Tonite (Montell Jordan),276266.0,False,1999.0,Low,0.813,0.491,-9.923,No,0.24100000000000002,4.61e-05,0.0817,99.008,Pop
Spinning Around (Kylie Minogue),207866.0,False,2000.0,Low,0.7609999999999999,0.662,-7.645,No,0.292,6.19e-05,0.0956,120.04299999999999,Pop
Big Pimpin' (JAY-Z),283066.0,True,1999.0,High,0.88,0.8140000000000001,-6.307,Yes,0.168,0.00672,0.0584,138.083,Rock
I Need You (LeAnn Rimes),229826.0,False,2001.0,High,0.478,0.736,-7.124,No,0.02,9.58e-05,0.11800000000000001,144.705,Pop
Separated (Avant),255600.0,False,2000.0,Low,0.7979999999999999,0.48,-5.564,No,0.247,0.0,0.237,108.241,Pop
Be With You (Enrique Iglesias),219360.0,False,1999.0,Low,0.6829999999999999,0.866,-5.436,No,0.0395,0.00161,0.0483,121.99600000000001,Pop
He Wasn't Man Enough (Toni Braxton),261933.0,False,2000.0,High,0.7390000000000001,0.9470000000000001,-1.916,No,0.00916,3.14e-05,0.326,88.009,Pop
Bounce With Me (feat. Xscape) - Edited Album Version (Bow Wow),175893.0,False,2000.0,Low,0.852,0.75,-5.153,Yes,0.434,0.0,0.265,72.016,Pop
Forgot About Dre (Dr. Dre),222293.0,True,1999.0,High,0.924,0.74,-1.2990000000000002,No,0.0827,0.0,0.163,133.974,Rock
Hot Boyz (Missy Elliott),215466.0,True,1998.0,Low,0.727,0.445,-11.241,Yes,0.33899999999999997,0.0,0.18,81.125,Pop
Show Me the Meaning of Being Lonely (Backstreet Boys),234960.0,False,1999.0,High,0.63,0.625,-5.088,No,0.231,0.0,0.0765,167.998,Pop
Gotta Tell You (Samantha Mumba),201946.0,False,2018.0,Low,0.7290000000000001,0.632,-8.75,No,0.191,0.0,0.166,109.98100000000001,Pop
Case Of The Ex (Whatcha Gonna Do) (Mýa),236906.0,False,2000.0,Low,0.772,0.688,-4.715,No,0.0548,9.790000000000001e-05,0.0725,98.0,Pop
Shackles (Praise You) (Mary Mary),198346.0,False,2000.0,High,0.779,0.8340000000000001,-2.773,Yes,0.0343,0.0,0.0886,100.46,Rock
Wifey (Next),243666.0,False,2004.0,Low,0.8290000000000001,0.652,-8.693,Yes,0.067,0.0,0.0812,99.581,Pop
Doesn't Really Matter (Janet Jackson),265026.0,False,2001.0,Low,0.7709999999999999,0.7959999999999999,-3.0810000000000004,No,0.0993,0.00278,0.0981,99.316,Pop
She Bangs - English Version (Ricky Martin),,False,2000.0,High,0.63,0.95,-4.012,No,0.000915,6.51e-06,0.373,143.866,Pop
He Can't Love U (Jagged Edge),244053.0,False,2000.0,Low,0.721,0.836,-3.972,Yes,0.11199999999999999,0.0,0.235,126.279,Pop
Incomplete (Sisqo),274226.0,True,1999.0,High,0.746,0.44299999999999995,-7.693,No,0.282,0.0,0.14,119.311,Pop
I Just Wanna Love U (Give It 2 Me) (JAY-Z),227866.0,True,2000.0,Low,0.8,0.922,-5.125,Yes,0.301,9.31e-06,,98.631,Rock
Thank God I Found You (feat. Joe & 98°) (Mariah Carey),257360.0,False,1999.0,Low,0.348,0.532,-5.882000000000001,No,0.5920000000000001,0.0,0.106,129.297,Pop
Who Let The Dogs Out (Baha Men),198400.0,False,2000.0,High,0.8690000000000001,0.887,-4.505,No,0.0605,0.0,0.14800000000000002,129.221,Rock
"U Know What's Up (feat. Lisa ""Left Eye"" Lopes) (Donell Jones)",243733.0,True,1999.0,High,0.8540000000000001,0.5429999999999999,-6.166,No,0.0402,5.73e-05,0.0419,103.03200000000001,Pop
Can't Fight The Moonlight (LeAnn Rimes),215506.0,False,2001.0,High,0.628,0.8340000000000001,-6.341,No,0.40299999999999997,0.0,0.051,97.865,Pop
Go Let It Out (Oasis),278666.0,False,2000.0,Low,0.408,0.8490000000000001,-5.631,No,0.0136,2.51e-05,0.56,84.19200000000001,Rock
Hey Baby (Radio Mix) (DJ Ötzi),219240.0,False,2010.0,Low,0.6659999999999999,0.968,-3.196,No,0.12300000000000001,0.0,0.34700000000000003,135.099,Pop
Most Girls (P!nk),298960.0,False,2000.0,Low,0.742,0.732,-6.046,No,0.0424,0.00446,0.10099999999999999,97.92200000000001,Pop
Against All Odds (Take A Look at Me Now) (feat. Westlife) (Mariah Carey),199480.0,False,2011.0,Low,0.47100000000000003,0.514,-5.599,No,0.584,0.0,0.10300000000000001,117.338,Pop
Fill Me In (Craig David),257200.0,False,2000.0,High,0.682,0.7440000000000001,-6.981,No,0.376,0.00951,0.06,132.493,Pop
I Turn to You (Christina Aguilera),273706.0,False,1999.0,High,0.599,0.47,-8.356,No,0.38,0.0,0.111,127.177,Pop
American Pie (Madonna),273533.0,False,2000.0,Low,0.631,0.7340000000000001,-7.48,No,0.348,0.0,0.135,124.036,Pop
Otherside (Red Hot Chili Peppers),255373.0,False,1999.0,High,0.45799999999999996,0.795,-3.265,No,0.00316,0.000202,0.0756,123.229,Rock
I Like It (Sammie),251040.0,False,2000.0,Low,0.826,0.6559999999999999,-8.529,No,0.0101,0.000113,0.0272,129.963,Pop
7 Days (Craig David),235133.0,False,2000.0,High,0.659,0.812,-7.499,No,0.23,0.0,0.0951,83.014,Pop
Maria Maria (feat. The Product G&B) (Santana),261973.0,False,1999.0,High,0.777,0.601,-5.931,Yes,0.0406,0.00201,0.0348,97.911,Rock
Don't Think I'm Not (Kandi),243533.0,False,2000.0,Low,0.8590000000000001,0.622,-8.196,No,0.0661,0.0,0.0394,134.007,Pop
There You Go (P!nk),202800.0,False,2000.0,Low,0.8220000000000001,0.847,-6.729,No,0.0854,0.0,0.0452,107.90799999999999,Pop
Shalala Lala (Vengaboys),214819.0,False,2000.0,Low,0.7509999999999999,0.9009999999999999,-5.8020000000000005,No,,0.0030800000000000003,0.0395,124.01700000000001,Pop
Life Is A Rollercoaster (Ronan Keating),234826.0,False,2000.0,Low,0.655,0.7909999999999999,-8.923,No,0.1,0.000124,0.33399999999999996,118.98100000000001,Pop
Don't Call Me Baby (Madison Avenue),228140.0,False,1999.0,Low,0.8079999999999999,0.982,-6.587999999999999,No,0.0585,0.00689,0.35,124.999,Rock
"Jumpin', Jumpin' (Destiny's Child)",230200.0,False,1999.0,High,0.7709999999999999,0.685,-4.638999999999999,No,0.00543,0.00157,0.0537,88.99700000000001,Pop
That's the Way It Is (Céline Dion),241373.0,False,1999.0,High,0.634,0.8859999999999999,-5.4239999999999995,No,0.154,0.0,0.11800000000000001,93.04,Pop
Kryptonite (3 Doors Down),233933.0,False,2000.0,High,0.545,0.865,-5.707999999999999,No,0.006640000000000001,1.1e-05,0.168,99.009,Pop
I Wish (Carl Thomas),226760.0,False,2000.0,Low,0.736,0.6659999999999999,-4.928999999999999,No,0.0593,3.82e-05,0.107,89.824,Pop
Shake Ya Ass (Mystikal),256973.0,True,2000.0,Low,0.914,0.607,-5.6579999999999995,Yes,0.0626,0.0,0.0515,98.054,Pop
Hemorrhage (In My Hands) (Fuel),236866.0,False,2000.0,Low,0.313,0.831,-3.8939999999999997,No,0.000127,0.000341,0.24,152.034,Pop
Where I Wanna Be (Donell Jones),253626.0,False,1999.0,Low,0.664,0.396,-9.131,No,0.52,0.0,0.268,102.053,Pop
Crash and Burn (Savage Garden),281466.0,False,1999.0,Low,0.581,0.607,-8.458,,0.18899999999999997,1.6e-06,0.0882,102.03,Pop
My Love (Westlife),231760.0,False,2000.0,High,0.491,0.593,-5.975,No,0.098,0.0,0.257,144.142,Pop
Pure Shores (All Saints),268746.0,False,2000.0,High,0.631,0.664,-9.197000000000001,No,0.0498,0.00042,0.0696,100.618,Pop
"Independent Women, Pt. 1 (Destiny's Child)",221133.0,False,2001.0,High,0.73,0.602,-3.782,Yes,0.36200000000000004,3.69e-06,0.16899999999999998,97.954,Pop
It's Gonna Be Me (*NSYNC),191040.0,False,2000.0,High,0.644,0.8740000000000001,-4.666,No,0.0459,2.24e-06,0.0584,165.09,Pop
Bag Lady (Erykah Badu),348893.0,False,2000.0,Low,0.7240000000000001,0.41600000000000004,-8.964,No,0.365,0.0,0.0969,151.181,Rock
You Sang To Me (Marc Anthony),347106.0,False,1999.0,Low,0.578,0.894,-5.42,No,0.0103,2.66e-06,0.21600000000000003,165.98,Pop
Bent (Matchbox Twenty),256133.0,False,2000.0,Low,0.518,0.83,-6.814,No,0.0404,3.85e-06,0.375,95.46799999999999,Pop
Rise (Gabrielle),219093.0,False,2001.0,High,0.5579999999999999,0.48100000000000004,-9.487,No,0.315,8.83e-06,0.09,144.673,Pop
Shape of My Heart (Backstreet Boys),230093.0,False,2000.0,High,0.575,0.7859999999999999,-4.353,No,0.252,0.0,0.159,96.102,Pop
With Arms Wide Open (Creed),274800.0,False,1999.0,High,0.41,0.539,-8.412,No,0.00425,0.0008900000000000001,0.11699999999999999,138.852,Pop
Breathless (The Corrs),207506.0,False,2000.0,High,0.607,0.82,-7.754,No,0.0541,6.8e-05,0.26899999999999996,126.988,Pop
I Wanna Know (Joe),296693.0,False,2000.0,High,0.725,0.48700000000000004,-5.959,No,0.26,1.09e-05,0.431,136.086,Pop
Teenage Dirtbag (Wheatus),241666.0,True,1999.0,High,0.625,0.85,-3.904,No,0.34600000000000003,0.000233,0.174,94.661,Rock
Come on over Baby (All I Want Is You) - Radio Version (Christina Aguilera),203333.0,False,1999.0,High,0.8290000000000001,0.915,-3.205,Yes,0.226,1.25e-05,0.24600000000000002,118.90299999999999,Pop
Higher (Creed),316733.0,False,1999.0,High,0.45899999999999996,0.83,-6.254,No,5.15e-05,0.00014,0.20600000000000002,155.827,Pop
Lucky (Britney Spears),206226.0,False,2000.0,High,0.765,0.7909999999999999,-5.707000000000001,No,0.262,0.000154,0.0669,95.02600000000001,Pop
Country Grammar (Hot Shit) (Nelly),287000.0,True,2000.0,High,0.865,0.664,-6.822,Yes,0.00689,0.0,0.142,162.83100000000002,Pop
It Wasn't Me (Shaggy),227600.0,False,2000.0,High,0.853,0.606,-4.596,No,0.0561,0.0,0.313,94.759,Pop
Survivor (Destiny's Child),254026.0,False,2001.0,High,0.514,0.9109999999999999,-2.0269999999999997,Yes,0.0559,0.0,0.775,161.109,Pop
Stan (Eminem),404106.0,True,2000.0,High,0.78,0.768,-4.325,,0.0371,2.34e-06,0.518,80.063,Rock
Can't Get You out of My Head (Kylie Minogue),230640.0,False,2001.0,High,0.7659999999999999,0.563,-7.516,No,0.0263,0.6829999999999999,0.115,126.007,Pop
"Lady Marmalade - From ""Moulin Rouge"" Soundtrack (Christina Aguilera)",264893.0,False,2001.0,High,0.76,0.8009999999999999,-3.7689999999999997,No,0.0144,1.49e-05,0.665,109.919,Pop
I'm Like A Bird (Nelly Furtado),243160.0,False,2000.0,Low,0.622,0.608,-5.085,No,0.138,5.38e-06,0.273,89.661,Pop
"Whenever, Wherever (Shakira)",196160.0,False,2001.0,High,0.794,0.8320000000000001,-4.862,No,0.237,1.1400000000000001e-05,0.203,107.65700000000001,Pop
The Middle (Jimmy Eat World),165853.0,False,2001.0,High,0.643,0.8490000000000001,-5.428,No,0.0371,0.0,0.057999999999999996,162.15200000000002,Pop
Drops of Jupiter (Tell Me) (Train),259933.0,False,2001.0,High,0.48100000000000004,0.638,-5.862,No,0.153,0.0,0.154,79.064,Pop
It's Raining Men (Geri Halliwell),254640.0,False,2001.0,High,0.637,0.929,-6.03,No,0.063,0.00796,0.318,136.482,Pop
Hit 'Em Up Style (Oops!) (Blu Cantrell),250706.0,False,2001.0,High,0.667,0.773,-4.9830000000000005,No,0.201,0.0,0.40399999999999997,89.976,Pop
I'm a Slave 4 U (Britney Spears),203600.0,False,2001.0,High,0.847,0.843,-3.5789999999999997,Yes,0.415,0.000134,0.107,110.027,Pop
In Your Eyes (Kylie Minogue),197826.0,False,2001.0,High,0.6890000000000001,0.894,-6.3420000000000005,No,0.133,4.72e-05,0.0681,123.971,Pop
One Minute Man (feat. Ludacris) (Missy Elliott),252986.0,True,2001.0,Low,0.622,0.669,-8.419,Yes,0.0266,2.97e-06,0.152,93.839,Pop
Family Affair (Mary J. Blige),265866.0,False,2001.0,High,0.9109999999999999,0.551,-3.75,No,0.132,4.1200000000000005e-05,0.0863,92.887,Pop
We Come 1 - Radio Edit (Faithless),222435.0,False,2015.0,Low,0.645,0.903,-10.587,No,0.0018800000000000002,0.799,0.147,135.977,Pop
Rollin' (Air Raid Vehicle) (Limp Bizkit),213760.0,True,2000.0,High,0.603,0.9329999999999999,-3.358,Yes,0.00591,0.0,0.20600000000000002,96.306,Rock
Something (Lasgo),220973.0,False,2001.0,High,0.643,0.981,-6.644,No,0.0271,8.93e-05,0.11,140.01,Pop
Rapture (feat.Nadia Ali) (iio),253586.0,False,2006.0,Low,0.6609999999999999,0.855,-8.402999999999999,No,0.0722,0.0185,0.19899999999999998,123.943,Rock
What Took You So Long? (Emma Bunton),241000.0,False,2001.0,Low,0.6679999999999999,0.772,-5.4,No,0.12300000000000001,0.0,0.341,118.01100000000001,Pop
It's Over Now (112),264933.0,False,2001.0,Low,0.66,0.71,-4.541,No,0.0106,7.01e-06,0.0736,97.988,Pop
All Rise (Blue),223546.0,False,2001.0,High,0.721,0.737,-2.734,No,0.121,0.0,0.165,97.99600000000001,Pop
Irresistible (Jessica Simpson),194026.0,False,2001.0,Low,0.657,0.965,-2.7710000000000004,No,0.0285,8.840000000000001e-05,0.0552,93.01299999999999,Pop
Butterfly (Crazy Town),216733.0,False,1999.0,High,0.736,0.8109999999999999,-4.17,No,0.00132,0.00014199999999999998,0.107,103.50200000000001,Rock
You Rock My World (Michael Jackson),337733.0,False,2001.0,High,0.8540000000000001,0.6729999999999999,-3.1319999999999997,Yes,0.038,0.000227,0.255,95.0,Pop
Let Me Blow Ya Mind (Eve),230133.0,True,2001.0,High,0.9079999999999999,0.557,-4.243,Yes,0.242,0.0,0.0709,90.03200000000001,Pop
Ain't It Funny (Jennifer Lopez),246160.0,False,2001.0,Low,0.7070000000000001,0.8690000000000001,-4.525,No,0.10400000000000001,0.000121,0.0813,99.825,Pop
Another Day in Paradise - R&B-Version (Brandy),271626.0,False,2002.0,Low,0.7,0.787,-5.176,No,0.006659999999999999,3.68e-05,0.0724,102.04299999999999,Pop
How You Remind Me (Nickelback),223840.0,False,2001.0,High,0.446,0.764,-5.042,No,0.00135,0.0,0.099,172.09400000000002,Rock
One More Time (Daft Punk),320357.0,False,2001.0,High,0.613,0.6970000000000001,-8.618,Yes,0.0194,0.0,0.332,122.74600000000001,Rock
Ms. Jackson (Outkast),270506.0,True,2000.0,High,0.843,0.8059999999999999,-5.946000000000001,Yes,0.14300000000000002,0.0,0.0771,94.948,Pop
Everytime You Need Me - Radio Version (Fragma),213346.0,False,2001.0,Low,0.682,0.917,-5.459,No,0.15,0.0676,0.34,137.029,Pop
Loverboy (Mariah Carey),229173.0,False,2001.0,Low,0.721,0.79,-4.125,Yes,0.183,0.0,0.1,103.141,Pop
Thank You (Dido),218360.0,False,1999.0,High,0.725,0.583,-9.942,No,0.3,0.00023799999999999998,0.0665,79.984,Pop
Stutter (feat. Mystikal) - Double Take Remix (Joe),213026.0,False,2000.0,Low,0.767,0.759,-6.516,Yes,0.0513,0.0,0.31,89.98899999999999,Pop
Youth of the Nation (P.O.D.),256240.0,False,2001.0,High,0.563,0.86,-7.5329999999999995,No,0.00834,0.0106,0.39,97.867,Rock
Play (Jennifer Lopez),211493.0,True,2001.0,Low,0.775,0.7290000000000001,-4.229,Yes,0.0303,0.00247,0.0361,104.719,Pop
Get Ur Freak On (Missy Elliott),211120.0,True,2001.0,High,0.797,0.75,-9.369,Yes,0.5329999999999999,0.10800000000000001,0.095,177.87,Pop
Nobody Wants to Be Lonely (with Christina Aguilera) (Ricky Martin),252706.0,False,2008.0,Low,0.635,0.8540000000000001,-5.02,No,0.00579,0.0083,0.0623,100.851,Pop
AM To PM (Christina Milian),231213.0,False,2001.0,High,0.872,0.868,-3.036,Yes,0.153,2.26e-05,0.843,105.005,Pop
Another Chance (Roger Sanchez),452906.0,False,2000.0,Low,0.61,0.82,-10.029,No,0.00021099999999999998,0.146,0.138,127.993,Rock
Clint Eastwood (Gorillaz),340920.0,True,2001.0,High,0.6629999999999999,0.6940000000000001,-8.627,Yes,0.0253,0.0,0.0698,167.953,Rock
Until The End Of Time (2Pac),266506.0,True,2001.0,Low,0.757,0.706,-6.665,Yes,0.0267,0.0,0.19699999999999998,96.976,Rock
Stranger in My House (Tamia),285386.0,False,2000.0,Low,0.6759999999999999,0.601,-4.905,No,0.10300000000000001,0.0,0.147,119.94,Pop
No More Drama (Mary J. Blige),326240.0,False,2001.0,High,0.653,0.8370000000000001,-6.818,Yes,0.534,7.120000000000001e-05,0.0784,97.914,Pop
Love Don't Cost a Thing (Jennifer Lopez),221226.0,False,2001.0,High,0.7859999999999999,0.8420000000000001,-5.115,No,0.00305,3.54e-06,0.473,97.57700000000001,Pop
Little L (Jamiroquai),295400.0,False,2001.0,High,0.878,0.7240000000000001,-5.372999999999999,Yes,0.168,0.0116,0.133,121.906,Pop
Missing You (Case),284666.0,False,2001.0,,0.612,0.579,-6.417000000000001,No,0.285,0.0,0.0556,86.31,Pop
Peaches & Cream (112),193093.0,False,2001.0,High,0.677,0.52,-6.255,Yes,0.00277,0.0,0.0532,203.862,Pop
Let's Dance - Radio Edit (Five),218626.0,False,2001.0,Low,0.631,0.821,-7.853,No,0.008759999999999999,0.00024700000000000004,0.293,118.007,Pop
Touch Me (Radio Edit) [feat. Cassandra] (Rui Da Silva),213133.0,False,2001.0,Low,0.46399999999999997,0.922,-8.399,No,0.124,0.22699999999999998,0.0546,129.078,Rock
Smooth Criminal (Alien Ant Farm),209266.0,False,2001.0,High,0.653,0.9640000000000001,-4.261,No,0.00316,0.00512,0.14400000000000002,126.928,Rock
Music (feat. Marvin Gaye) (Erick Sermon),223133.0,True,2001.0,Low,0.897,0.466,-9.052999999999999,Yes,0.187,1.35e-06,0.0757,100.01,Pop
Purple Pills (D12),304506.0,True,2001.0,High,0.78,0.634,-5.941,Yes,0.0199,2.98e-05,0.29,125.25,Pop
Pop Ya Collar - Radio Edit (Usher),210813.0,False,2016.0,Low,0.888,0.8,-3.944,No,0.0901,2.12e-05,0.22899999999999998,106.95700000000001,Pop
Don't Tell Me (Madonna),280973.0,False,2000.0,Low,0.6990000000000001,0.618,-7.337999999999999,No,0.0502,0.000925,0.0914,99.965,Pop
If You Come Back (Blue),207560.0,False,2001.0,Low,0.5820000000000001,0.7070000000000001,-4.487,No,0.0822,0.0,0.0467,78.375,Pop
Eternal Flame - Single Version (Atomic Kitten),195506.0,False,2001.0,Low,0.578,0.581,-6.867000000000001,No,0.0658,0.0042,0.0674,83.29299999999999,Pop
Where the Party At (feat. Nelly) (Jagged Edge),232573.0,False,2001.0,High,0.596,0.6609999999999999,-6.239,Yes,0.31,0.0,0.0847,129.491,Pop
Because I Got High (Afroman),197760.0,True,2001.0,High,0.802,0.341,-8.56,Yes,0.16899999999999998,0.0,0.0783,166.01,Rock
Don't Stop Movin' (S Club 7),233626.0,False,2001.0,High,0.8220000000000001,0.672,-6.132999999999999,,0.0285,0.0,0.213,117.03299999999999,Pop
Fill Me In (Craig David),257200.0,False,2000.0,High,0.682,0.7440000000000001,-6.981,No,0.376,0.00951,0.06,132.493,Pop
Turn Off The Light (Nelly Furtado),276106.0,False,2000.0,Low,0.5870000000000001,0.679,-6.26,No,0.0839,0.00031600000000000004,0.413,180.18400000000003,Pop
Starlight - Radio Edit (The Supermen Lovers),234400.0,False,2001.0,High,0.7390000000000001,0.679,-5.079,No,0.000424,0.0187,0.389,127.48700000000001,Rock
All I Want - Sunship Radio Edit (Mis-Teeq),207400.0,False,2004.0,Low,0.795,0.919,-3.07,No,0.37,0.00863,0.18899999999999997,134.079,Pop
Promise (Jagged Edge),246720.0,False,2000.0,Low,0.7509999999999999,0.568,-5.431,No,0.136,0.0,0.0288,128.002,Pop
Have You Ever (S Club 7),201533.0,False,2001.0,High,0.585,0.7020000000000001,-5.734,No,0.5379999999999999,0.0,0.21600000000000003,139.909,Pop
Only Time (Enya),218546.0,False,2000.0,High,0.418,0.249,-13.744000000000002,No,0.841,0.6609999999999999,0.11199999999999999,82.803,Rock
There You'll Be (Faith Hill),222120.0,False,2001.0,High,0.321,0.511,-7.77,No,0.513,0.0,0.127,128.98,Pop
Lovin' Each Day (Ronan Keating),212973.0,False,2000.0,Low,0.541,0.899,-6.261,No,0.0178,2.95e-06,0.28600000000000003,106.676,Pop
Bootylicious (Destiny's Child),207906.0,False,2001.0,High,0.84,0.835,-4.386,Yes,0.00281,1.11e-06,0.152,103.376,Pop
It's the Way You Make Me Feel (Steps),197360.0,False,2000.0,Low,0.573,0.665,-5.081,No,0.10800000000000001,2.09e-06,0.095,105.006,Pop
Heard It All Before (Sunshine Anderson),295826.0,False,2001.0,Low,0.6970000000000001,0.925,-4.209,Yes,0.0614,0.0,0.095,96.95100000000001,Pop
Again (Lenny Kravitz),231666.0,False,2000.0,High,0.55,0.804,-5.218,No,0.0148,4.33e-05,0.105,79.166,Pop
Gotta Get Thru This - D'N'D Radio Edit (Daniel Bedingfield),162333.0,False,2002.0,Low,0.836,0.762,-5.044,No,0.0826,5.479999999999999e-05,0.102,133.592,Pop
Point Of View - Radio Edit (DB Boulevard),231166.0,False,2018.0,Low,0.6759999999999999,0.715,-6.854,No,0.0028399999999999996,0.0746,0.0685,129.006,Rock
All For You (Janet Jackson),329933.0,False,2001.0,High,0.753,0.934,-3.011,No,0.0174,0.065,0.128,113.525,Pop
Whole Again (Atomic Kitten),185013.0,False,2001.0,High,0.747,0.706,-4.6530000000000005,No,0.0844,0.00355,0.174,94.01899999999999,Pop
Livin' It Up (Ja Rule),257066.0,False,2001.0,High,0.8740000000000001,0.768,-4.086,Yes,0.0554,0.0,0.040999999999999995,106.095,Pop
"Independent Women, Pt. 1 (Destiny's Child)",221133.0,False,2001.0,High,0.73,0.602,-3.782,Yes,0.36200000000000004,3.69e-06,0.16899999999999998,97.954,Pop
Do You Really Like It? - Radio Edit (DJ Pied Piper & The Masters Of Ceremonies),217120.0,False,2001.0,Low,0.847,0.877,-5.4239999999999995,No,0.124,0.0,0.14800000000000002,131.04399999999998,Rock
I'm Real (feat. Ja Rule) - Murder Remix (Jennifer Lopez),262133.0,True,2001.0,High,0.708,0.5870000000000001,-7.93,Yes,0.273,0.0,0.0718,83.46,Pop
